student_name,roll_number,email,phone,major,batch,year,status
Aung Min Khant 1,2021-MIIT-CSE-001,aungminkhant1.cse2021.001@gmail.com,09768000001,CSE,2021 Batch,3rd Year,Active
Thiri Mon 1,2021-MIIT-CSE-002,thirimon1.cse2021.002@gmail.com,09768000002,CSE,2021 Batch,3rd Year,Active
Kyaw Zin Oo 1,2021-MIIT-CSE-003,kyawzinoo1.cse2021.003@gmail.com,09768000003,CSE,2021 Batch,3rd Year,Active
Su Myat Noe 1,2021-MIIT-CSE-004,sumyatnoe1.cse2021.004@gmail.com,09768000004,CSE,2021 Batch,3rd Year,Active
Htet Aung 1,2021-MIIT-CSE-005,htetaung1.cse2021.005@gmail.com,09768000005,CSE,2021 Batch,3rd Year,Active
Yoon Myat Thu 1,2021-MIIT-CSE-006,yoonmyatthu1.cse2021.006@gmail.com,09768000006,CSE,2021 Batch,3rd Year,Active
Kaung Htet 1,2021-MIIT-CSE-007,kaunghtet1.cse2021.007@gmail.com,09768000007,CSE,2021 Batch,3rd Year,Active
Nandar Hlaing 1,2021-MIIT-CSE-008,nandarhlaing1.cse2021.008@gmail.com,09768000008,CSE,2021 Batch,3rd Year,Active
Min Thant 1,2021-MIIT-CSE-009,minthant1.cse2021.009@gmail.com,09768000009,CSE,2021 Batch,3rd Year,Active
May Zin Win 1,2021-MIIT-CSE-010,mayzinwin1.cse2021.010@gmail.com,09768000010,CSE,2021 Batch,3rd Year,Active
Aung Min Khant 2,2021-MIIT-CSE-011,aungminkhant2.cse2021.011@gmail.com,09768000011,CSE,2021 Batch,3rd Year,Active
Thiri Mon 2,2021-MIIT-CSE-012,thirimon2.cse2021.012@gmail.com,09768000012,CSE,2021 Batch,3rd Year,Active
Kyaw Zin Oo 2,2021-MIIT-CSE-013,kyawzinoo2.cse2021.013@gmail.com,09768000013,CSE,2021 Batch,3rd Year,Active
Su Myat Noe 2,2021-MIIT-CSE-014,sumyatnoe2.cse2021.014@gmail.com,09768000014,CSE,2021 Batch,3rd Year,Active
Htet Aung 2,2021-MIIT-CSE-015,htetaung2.cse2021.015@gmail.com,09768000015,CSE,2021 Batch,3rd Year,Active
Yoon Myat Thu 2,2021-MIIT-CSE-016,yoonmyatthu2.cse2021.016@gmail.com,09768000016,CSE,2021 Batch,3rd Year,Active
Kaung Htet 2,2021-MIIT-CSE-017,kaunghtet2.cse2021.017@gmail.com,09768000017,CSE,2021 Batch,3rd Year,Active
Nandar Hlaing 2,2021-MIIT-CSE-018,nandarhlaing2.cse2021.018@gmail.com,09768000018,CSE,2021 Batch,3rd Year,Active
Min Thant 2,2021-MIIT-CSE-019,minthant2.cse2021.019@gmail.com,09768000019,CSE,2021 Batch,3rd Year,Active
May Zin Win 2,2021-MIIT-CSE-020,mayzinwin2.cse2021.020@gmail.com,09768000020,CSE,2021 Batch,3rd Year,Active
Aung Min Khant 3,2021-MIIT-CSE-021,aungminkhant3.cse2021.021@gmail.com,09768000021,CSE,2021 Batch,3rd Year,Active
Thiri Mon 3,2021-MIIT-CSE-022,thirimon3.cse2021.022@gmail.com,09768000022,CSE,2021 Batch,3rd Year,Active
Kyaw Zin Oo 3,2021-MIIT-CSE-023,kyawzinoo3.cse2021.023@gmail.com,09768000023,CSE,2021 Batch,3rd Year,Active
Su Myat Noe 3,2021-MIIT-CSE-024,sumyatnoe3.cse2021.024@gmail.com,09768000024,CSE,2021 Batch,3rd Year,Active
Htet Aung 3,2021-MIIT-CSE-025,htetaung3.cse2021.025@gmail.com,09768000025,CSE,2021 Batch,3rd Year,Active
Yoon Myat Thu 3,2021-MIIT-CSE-026,yoonmyatthu3.cse2021.026@gmail.com,09768000026,CSE,2021 Batch,3rd Year,Active
Kaung Htet 3,2021-MIIT-CSE-027,kaunghtet3.cse2021.027@gmail.com,09768000027,CSE,2021 Batch,3rd Year,Active
Nandar Hlaing 3,2021-MIIT-CSE-028,nandarhlaing3.cse2021.028@gmail.com,09768000028,CSE,2021 Batch,3rd Year,Active
Min Thant 3,2021-MIIT-CSE-029,minthant3.cse2021.029@gmail.com,09768000029,CSE,2021 Batch,3rd Year,Active
May Zin Win 3,2021-MIIT-CSE-030,mayzinwin3.cse2021.030@gmail.com,09768000030,CSE,2021 Batch,3rd Year,Active
Aung Min Khant 4,2021-MIIT-CSE-031,aungminkhant4.cse2021.031@gmail.com,09768000031,CSE,2021 Batch,3rd Year,Active
Thiri Mon 4,2021-MIIT-CSE-032,thirimon4.cse2021.032@gmail.com,09768000032,CSE,2021 Batch,3rd Year,Active
Kyaw Zin Oo 4,2021-MIIT-CSE-033,kyawzinoo4.cse2021.033@gmail.com,09768000033,CSE,2021 Batch,3rd Year,Active
Su Myat Noe 4,2021-MIIT-CSE-034,sumyatnoe4.cse2021.034@gmail.com,09768000034,CSE,2021 Batch,3rd Year,Active
Htet Aung 4,2021-MIIT-CSE-035,htetaung4.cse2021.035@gmail.com,09768000035,CSE,2021 Batch,3rd Year,Active
Yoon Myat Thu 4,2021-MIIT-CSE-036,yoonmyatthu4.cse2021.036@gmail.com,09768000036,CSE,2021 Batch,3rd Year,Active
Kaung Htet 4,2021-MIIT-CSE-037,kaunghtet4.cse2021.037@gmail.com,09768000037,CSE,2021 Batch,3rd Year,Active
Nandar Hlaing 4,2021-MIIT-CSE-038,nandarhlaing4.cse2021.038@gmail.com,09768000038,CSE,2021 Batch,3rd Year,Active
Min Thant 4,2021-MIIT-CSE-039,minthant4.cse2021.039@gmail.com,09768000039,CSE,2021 Batch,3rd Year,Active
May Zin Win 4,2021-MIIT-CSE-040,mayzinwin4.cse2021.040@gmail.com,09768000040,CSE,2021 Batch,3rd Year,Active
Aung Min Khant 5,2021-MIIT-CSE-041,aungminkhant5.cse2021.041@gmail.com,09768000041,CSE,2021 Batch,3rd Year,Active
Thiri Mon 5,2021-MIIT-CSE-042,thirimon5.cse2021.042@gmail.com,09768000042,CSE,2021 Batch,3rd Year,Active
